symbol,hgnc_id,entrez_id
ANKRD20A3P,31981,441425
ANKRD20A4P,31982,728747
ANKRD20A5P,33833,440482
ANKRD20A6P,37714,728157
ANKRD20A7P,31980,653436
ANKRD20A8P,23666,729171
ANKRD20A9P,42023,284232
ANKRD20A10P,39707,100421422
ANKRD20A11P,42024,391267
ANKRD20A12P,43603,100874392
ANKRD20A13P,43604,100132733
ANKRD20A14P,43605,100533719
ANKRD20A15P,43606,100533720
ANKRD20A16P,43607,100421427
ANKRD20A17P,43608,100421363
ANKRD20A18P,23756,391269
ANKRD20A19P,42737,400110
ANKRD20A20P,32319,728788
ANKRD20A21P,52329,102723552
ANKRD22,28321,118932
ANKRD23,24470,200539
ANKRD24,29424,170961
ANKRD26,29186,22852
ANKRD26P1,32955,124149
ANKRD26P2,39687,646929
ANKRD26P3,39689,100101938
ANKRD26P4,39690,100873882
ANKRD27,25310,84079
ANKRD28,29024,23243
ANKRD29,27110,147463
ANKRD30A,17234,91074
ANKRD30B,24165,374860
ANKRD30BL,35167,554226
ANKRD30BP1,19722,642460
ANKRD30BP2,16620,149992
ANKRD30BP3,27873,338579
ANKRD31,26853,256006
ANKRD33,13788,341405
ANKRD33B,35240,651746
ANKRD33B-AS1,41298,100874247
ANKRD34A,27639,284615
ANKRD34B,33736,340120
ANKRD34C,33888,390616
ANKRD34C-AS1,48618,729911
ANKRD35,26323,148741
ANKRD36,24079,375248
ANKRD36B,29333,57730
ANKRD36BP1,28169,84832
ANKRD36BP2,33607,645784
ANKRD36C,32946,400986
ANKRD36P1,37759,100132420
ANKRD37,29593,353322
ANKRD39,28640,51239
ANKRD40,28233,91369
ANKRD40CL,26080,55018
ANKRD42,26752,338699
ANKRD42-DT,55590,100506282
ANKRD44,25259,91526
ANKRD44-AS1,41090,101927596
